ID,Name,latitude,longitude
346,SINGA EXCHANGE PRIVATE LIMITED,1.302751218,103.8651636
347,GOLDEN CITY FOREIGN EXCHANGE,1.332975616,103.8479654
348,ANNESHAH TRADING,1.290072806,103.849143
349,THE CHANGERS,1.392197774,103.9044716
350,THEEN MONEY CHANGER,1.306996715,103.8291158
351,ORCHARD MALL PTE. LTD.,1.303779377,103.9029123
352,SALVA'S FOREIGN EXCHANGE,1.318675759,103.8925506
353,HANIF ANISHA ENTERPRISE,1.301401203,103.8392783
354,J L UNION GARMENT ENTERPRISE,1.324818171,103.9305443
355,MOHAMED YOONUS & SONS,1.314634907,103.7647924
356,NEWSCREST EXCHANGE,1.29912141,103.8464635
357,RAZIA DRUG STORE,1.30129429,103.8417676
358,GOLDEN HOMES ENTERPRISE,1.30255977,103.9060746
359,GOLDEN HORSE PRIZE ENTERPRISE PTE LTD,1.314957304,103.8934003
360,A WALI MOHAMED BROS,1.302117838,103.8584796
361,RICHVEIN PTE LTD,1.311950542,103.8364622
362,RIVER VALLEY APARTMENTS PTE LTD,1.293072259,103.8270759
363,ROSEMIN STORE,1.30165917,103.8522375
364,EVER VICTORY MONEY CHANGER,1.441767147,103.8244951
365,FAIZURA TRADING,1.314853226,103.7642482
366,FMC TRADING,1.302424179,103.8346761
367,JKR NEWS,1.300509555,103.8392241
368,GLOBAL EXCHANGE,1.292220759,103.8506126
369,GOLDEN DEVELOPMENT PRIVATE LIMITED,1.307751538,103.8357483
370,GOLDEN DEVELOPMENT PRIVATE LIMITED,1.30802413,103.8357123
371,SULTAN ENTERPRISE,1.306996715,103.8291158
372,SHAFEEK EXCHANGE,1.301632323,103.8533426
373,BON VOYAGE MONEY CHANGER & NEWS SHOP,1.353646583,103.9448383
374,BOON LAY EXCHANGE PTE LTD,1.346348193,103.7124293
375,K S S N FOREIGN EXCHANGE PTE. LTD.,1.300533917,103.8548309
376,ONE FARRER PTE LTD,1.312756687,103.8538422
377,HAMSHANOOR ENTERPRISE,1.303022995,103.8528756
378,ORCHARD GRAND COURT PTE LTD,1.29727532,103.8385339
379,EVERBRIGHT MONEY CHANGER,1.30065103,103.849442
380,EVERPEACE MONEY CHANGER PTE LTD,1.301191315,103.9051136
381,FAJIRA FANCY STORE,1.306372751,103.8270365
382,FAR EAST ORCHARD LTD,1.306575175,103.8277394
383,FAR EAST ORGANISATION CENTRE PTE LTD,1.390402113,103.9860611
384,FIRST CHOICE PROPERTIES PTE LTD,1.30390261,103.8507167
385,BKK FOREX PTE LTD,1.302751218,103.8651636
386,SHANGRI-LA HOTEL LIMITED,1.311247411,103.8267568
387,INTER MONEY CHANGER,1.3711372,103.8476623
388,JAMAL KAZURA AROMATICS,1.302704975,103.8590662
389,AL-AMAN EXCHANGE,1.325926759,103.9308081
390,VS EXCHANGE PTE LTD,1.315149954,103.8534782
391,DOLLAR SMART EXCHANGE,1.345331609,103.6934366
392,CLIFFORD GEMS & MONEY EXCHANGE,1.293893588,103.8531199
393,DOULATH ENTERPRISE,1.302751218,103.8651636
394,12 HRS MONEY EXCHANGER,1.320211016,103.8436568
395,AJS FOREIGN EXCHANGE,1.359496638,103.8850799
396,TOP XCHANGE,1.29894387,103.8507632
